question,a,b,c,d,answer,source,id
Sella tursica lies above:,Pons,Frontal sinus,Foramen ovale,Sphenoidal sinus,3,MEDMCQA,508
A 12 years old boy came with complaints of 4 hypopigmented patches on back and on left arm. The patches had loss of sensation. Which of the following is the treatment for this case?,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg daily,Rifampicin (600 mg) + Dapsone (150 mg) only,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,Rifampicin (600 mg) + Dapsone (150 mg) + Clofazimine (300 mg) monthly and 50 mg daily,2,MEDMCQA,509
"40 year old female came with fullness in upper right quadrant of abdomen with diabetes type II, hyperlipidemia, biopsy shows",Biliary cirrhosis,Luminal thrombosis,Non-alcoholic steatohepatitis,Autoimmune hepatitis,2,MEDMCQA,510
Sublingual space is divided from submandibular space by:,Fibres of mylohyoid,Submandibular gland,Body of mandible,Geniohyoid,0,MEDMCQA,511
"A man comes with history of abnormal excessive blinking and grunting. He says he has no control over his symptoms, which have risen in frequency of late. This has staed affecting his social life making him depressed. Which of the following medications should be used in him?",Risperidone,Imipramine,Carbamazepine,Methylphenidate,0,MEDMCQA,512
Major mechanism of action of nitrates in acute attack of angina is:,Coronary vasodilation,Decrease in preload,Decrease in afterload,Decrease in hea rate,1,MEDMCQA,513
The cell junctions allowing exchange of cytoplasmic molecules between two cells are called:,Gap junctions,Tight junctions,Anchoring junctions,Focal junctions,0,MEDMCQA,514
All of the following puy NiUiugiLai changes are seen in pregnancy except:,Increased stroke volume,Increased cardiac output,Increased intravascular volume,Increased peripheral resistance,3,MEDMCQA,515
Sickle cell mutation is,Point mutation,Selective mutation,Frame shift mutation,Nonsense mutation,0,MEDMCQA,516
An I.V. drug abuser presents with fever for 10 days. CXR shows B/L lower lobe consolidation with necrosis and right sided pyopneumothorax. Probable diagnosis is:,MV endocarditis due to viridans Streptococci,TV endocarditis due to Staph. aureus,Tuberculosis,Pneumocystis jirovecii infection,1,MEDMCQA,517
Enlargement of the blind spot occurs in which of the following,Primary open angle glaucoma,Diabetic macular edema,Optic nerve hypoplasia,Papilledema,3,MEDMCQA,518
"In alpha-thalassemia trait,electrophoresis shows:March 2005",Increased HbF and normal HbA2,Normal HbF and normal HbA2,Normal HbF and decreased HbA2,Decreased HbF and normal HbA2,1,MEDMCQA,519
"A 2 month old girl has failure to thrive, polyuria and medullary nephrocalcinosis affecting both kidneys. Investigations show blood pH 7.48, bicarbonate 25 mEq/l, potassium 2 mEq/l, sodium 126 mEq/l and chloride 88 mEq/l. The most likely diagnosis is -",Distal renal tubular acidosis,Primary hyperaldosteronism,Bartter syndrome,Pseudohypoaldosteronism,2,MEDMCQA,520
Which of the following hormones increases the sensitivity of heart to epinephrine:,Parathyroid,Insulin,Thyroid,Glucagon,2,MEDMCQA,521
Allergy in immediate perioperative period is due to:,Opioids,LA agents,Induction agents,Neuromuscular blockers,3,MEDMCQA,522
The primary action of topical fluoride is a:,Conversion of hydroxyapatite to fluoroapatite,Decrease in the plaque bacteria,Form a reservoir in saliva,Improve morphology of teeth,0,MEDMCQA,523
"Currently used step back technique is modified, it was given by:",Clam,Wein,Schilder,Mullaney,3,MEDMCQA,524
Silicate cement is indicated in:,Mouth breathers,Patients with high caries index,In the restoration of posterior tooth,None of the above,1,MEDMCQA,525
Lingual ridge is most prominent in,Upper Canine,Lower Canine,Upper Central Incisor,Lower central incisor,0,MEDMCQA,526
Which is true about mucogingival flap designs,Flap should be wider at the base,Flap should be narrower at the base,Flap margins should not rest on bone,Mucogingival flaps should be avoided,0,MEDMCQA,527
Which of the following is not a cause of Squamous cell Carcinoma for Head & Neck:,EBV,HPV,Betel Nut,Vitamin A,3,MEDMCQA,528
"A 14 year old boy has delayed eruption of the
second molar. Radiography shows a dentigerous cyst surrounding the crown of the tooth. The treatment of choice is:",Extraction of the molar,Aspiration of the cyst,Observe,Expose the crown and keep it exposed,3,MEDMCQA,529
All are features of Neonatal Tetanus except –,Refusal to feed is common initial symptom,Caused by clostridium tetani,Usually occurs in 1st 2 days of life,Mortality is 50–75%.,2,MEDMCQA,530
A medical student presented to the ED with protracted vomiting. For this he was given and anti-emetic drug following which he developed abnormal posturing. Which of the following is the most likely drug to be given to the patient?,Metoclopramdie,Ondansetron,Domperidone,Dexamethasone,0,MEDMCQA,531
"In case of nodal metastasis, which is not seen on CT scan",Spiculated node,Size more than 6 mm,Necrotic node,Rounded node,0,MEDMCQA,532
Anchoring fibres of lamina densa contains:,Type 2 collagen.,Type 4 collagen.,Type 6 collagen.,Type 7 collagen.,3,MEDMCQA,533
Winged rubber dam retainer in endodontics advantages are all except,Radiographs are good showing full length of canals,Stability,Provide extra bucco-lingual retraction,"Dam, clamp and frame placed in one operation",0,MEDMCQA,534
Gene for odontoblast differentiation,MAP1B,PHEX,DEN,PHIX,0,MEDMCQA,535
"Considering the morphology of root and pulp canals, a root canal instrument should be placed in what direction to gain access to the Mesiofacial root of permanent maxillary first molar:",From the mesiobuccal,From the distobuccal,From the mesiolingual,From the distolingual,3,MEDMCQA,536
Treatment of choice for a patient with gonococcal as well as non-gonococcal urethritis is:,Ceftriaxone 250 mg IM single dose,Cefixime 400 mg oral single dose,Ciprofloxacin 500 mg oral single dose,Azithromycin 2 g oral single dose,3,MEDMCQA,537
T-lymphocytes play a primary role in,Production of Antibodies,Production	of	lymphokines	and	delayed hypersensitivity,Activation of complement system,Immediate Hypersensitivity,1,MEDMCQA,538
Monitoring and diagnosis after completion of H. pylori treatment is done through,Gastric acid test,urea breath test,bacterial culture of stool,sodium chloride test,1,MEDMCQA,539
Which one of the following is not a criterion for making a diagnosis of chronic myeloid leukemia in accelerated phase:,Blasts 10-19% of WBC's in peripheral blood,Basophils 10-19% of WBC'S in peripheral blood,Increasing spleen size unresponsive to therapy,Persistent thrombocytosis (>1000 x 109/L) unresponsive to therapy,3,MEDMCQA,540
Multiple canals in mandibular premolars are seen in?,Africas,Caucians,Not Recalled,Not Recalled,0,MEDMCQA,541
A 26 years old patient c/o foul smelling greyish white discharge diagnosed to be Gardnerella vaginalis infection. Microscopic finding is suggestive of?,Group of bacilli arranged in chain forms,Bacteria found to be engulfed by macrophages,Bacteria adherent to lining vaginal epithelial cells,Bacteria arranged in cluster forms,2,MEDMCQA,542
Which of the following methods is used for calculation of anatomical dead space?,Xenon dilution technique,Bohler's method,Spirometry,Single breath nitrogen test,3,MEDMCQA,543
"In extraction, best time to administer analgesics is:",Before anaesthesia wears off,Prior to extraction,When pain is moderate to severe,After anaesthesia wears off,0,MEDMCQA,544
Junctional epithelium,Lines the gingival sulcus,Is permeable,Is derived initially from the outer enamel epithelium,Is attached to enamel by desmosomes,1,MEDMCQA,545
Tubercle of zukerkandle is seen on,MB on upper and lower primary 1st molar,MB on upper and lower permanent 1st molar,MB on upper Primary 1st molar only,MB on lower primary 1st molar only,0,MEDMCQA,546
Which of the following is the complication of massive blood transfusion?,Metabolic acidosis,Metabolic alkalosis,Respiratory alkalosis,Respiratory acidosis,1,MEDMCQA,547
Which of the following conditions is associated with polyhy dramnios?,Posterior urethral valve,Cleft palate,Congenital diaphragmatic hernia,Bladder exostrophy,1,MEDMCQA,548
Poisoning by which of these elements causes blind staggers alkali disease in livestock?,Magnesium,Manganese,Selenium,Molybdenum,2,MEDMCQA,549
Hydrolysis of IgG with papain will lead to formation of following fragments:,1 Fc and 2 Fab fragments,2 Fc and 1 Fab fragment,1 variable chain and 1 constant chain,1 Fab and 1 hypervariable region,0,MEDMCQA,550
A layman before introduction of fluoride in prevention of dental caries knew about it as a constituent used in,Pesticide,Industrial use,Fertilizers,Irrigant,0,MEDMCQA,551
Which vitamin is required for glycogen Phosphorylase?,PLP,TPP,Riboflavin,Lipoic acid,0,MEDMCQA,552
"In BSSO setback, fixation in neutral posterior zone is best achieved with:",Lag screw,Position screw,Miniplate,No fixation is required in neutral position,0,MEDMCQA,553
Thermal conductivity of which material is close to dentin:,Amalgam,Silicate,Composite resin,Cavity varnish,1,MEDMCQA,554
"Unconjugated bilirubin is increased in all, except –",Criggler Najjar syndrome,Dubin Johnson syndrome,Gilbert syndrome,Hemolytic anaemia,1,MEDMCQA,555
True statements about osteoblasts are all except:,Derived from osteoprogenitor cells,Regulated by BM P,Have a plasma membrane showing multiple folds,Have neuropeptide receptors,2,MEDMCQA,556
"Mother of a 10 month old child came with a complaint of non-eruption of teeth, what will be the treatment protocol?",Wait and watch,You will do OPG which shows developing tooth buds,PA skull view which shows developing tooth buds,Paediatric consultation,0,MEDMCQA,557
"""First hand knowledge"" refers to",Opinion of a doctor in cou,Handwriting expe,Common witness,Fingerprint expe,2,MEDMCQA,558
What should be the ideal temperature in delivery room for the neonates to be kept in warmer?,22-26degC,28-30degC,30-35degC,37degC,0,MEDMCQA,559
What is the ratio of chest compressions and breaths when a lone person is giving cardiopulmonary resuscitation?,10:01,15:01,30:01:00,30:02:00,3,MEDMCQA,560
Which of the following movement(s) is /are involved in the opening of the mouth?,Only hinge (rotation),Only translation,Hinge followed by translation,Translation followed by hinge,2,MEDMCQA,561
Malaria control means,To reduce Malaria moality to Zero,To prevent local transmission for 3 years,To reduce Malaria disease so that its no longer a Public Health Problem,To reduce Incidence to Zero,2,MEDMCQA,562
Asseion - Distal pole of scaphoid goes to avascular necrosis after scaphoid fracture.Reason- Blood supply of scaphoid is from distal to proximal.,Asseion is true but reason is false,Both asseion reason are true and reason explains asseion,Both asseion and reason are false,Reason is true but asseion is false,3,MEDMCQA,563
"In the mammalian genome, maximum number of genes code for the receptors of:",Immunoglobulin receptors,Interleukins,Growth factors,Odorants,3,MEDMCQA,564
Which one of the following is a connective tissue tumour:,Lipoma,Melanoma,Carcinoma,Papilloma,0,MEDMCQA,565
True about ythT cells:,Are helper t cells,Oligoclonal proliferation,Antigen presentation,Opsonization,1,MEDMCQA,566
After brushing dryness of mouth is caused by,Glycol,sodium Lauryl sulphate,Friction due to brushing,Sweetner,1,MEDMCQA,567
FNAC can not diagnose,Papillary carcinoma of thyroid,Follicular carcinoma of thyroid,Anaplastic carcinoma of thyroid,Medullary carcinoma of thyroid,1,MEDMCQA,568
Fenestri vestibuli is:,Rounded bulge produced by first turn of cochlea,Oval opening posterosuperior to the promontory,Prominence produced due to the lateral semicircular canal,It is grooved by tympanic plexus,1,MEDMCQA,569
"The speed with which the electrons travel from the
filament of cathode to the anode depends upon",Potential difference between the two electrodes,Number of milliamperes in the tube circuit,Angle between the filament and target,Voltage of the filament,0,MEDMCQA,570
"A middle-aged woman came to OPD with a twin pregnancy. She already had 2 first trimester aboion and she has a 3 years old female child who was born at the end of ninth month of gestation. Which of the following is her accurate representation? C = gravid, P = para?",G4P1 1+2+1,G4P1 0+1+2,G5P1 2+0+1,G5P0 1+0+2,1,MEDMCQA,571
"A 38 years old female presented to the emergency with extensive burns. The patient had grade 3 burns on the face, back, upper arms and forearms along with singeing of hairs. Which of the following is not a proof of inhalation burns?",Yellow colored sputum,Blackish soot deposit on posterior pa of tongue,Hoarseness & stridor of voice,Singeing of eyebrows and facial hair,0,MEDMCQA,572
LA deposited in Inferior alveolar nerve block at,Sigmoid notch,Coronoid notch,Lingula,Groove of mandibular neck,2,MEDMCQA,573
False about enamel rods is,They are perpendicular to tooth surface,They are parallel to each other,Diameter of enamel rods is 30micrometer at DEJ,Diameter of enamel rod is 5 micrometer at DEJ,2,MEDMCQA,574
Partial veneer crown is contraindicated in,Long teeth,Short teeth,Tipped teeth,Tapered teeth,1,MEDMCQA,575
Which is not a monosaccharide?,Glucose,Galactose,Maltose,Fructose,2,MEDMCQA,576
"A man has 1x1.5cm pedunculated lesion on the soft palate which has a rough, ""warty"" surface but is the same colour as adjacent mucosa. Appropriate management of this lesion is to:",Perform an incisional biopsy,Perform excisional biopsy,Scrape for exfoliative cytology,Observe for two weeks,1,MEDMCQA,577
Tissue conditioners are not used for long as they,Harden in mouth,Are expensive,Are difficult to fabricate,Cause ridge resorption,0,MEDMCQA,578
Factors affecting the treatment of MI,Regional wall motion abnormality,Troponin level,Both,None,2,MEDMCQA,579
Which is not present in porcelain:,Silica,Feldspar,Calcium carbonate,Amorphous material,3,MEDMCQA,580
Bite cells are seen in,G6PD deficiency,SCA,Hereditory spherocytosis,Trauma,0,MEDMCQA,581
Which of the following vaccine is not included in EPI schedule,DPT,MMR,BCG,OPV,1,MEDMCQA,582
Which of the following is true about Catlan's appliance?,It is used to treat cross-bite of maxillary posterior teeth,It is constructed on the lower anterior teeth with an inclined plane,If used for a long period it results in anterior deep bite,Of constructed on the upper anterior teeth it has a 45 degree angulation,1,MEDMCQA,583
Force generated by 90° rotation of finger spring in pendulum appliance with distalisation:,75 gms,125 gms,150 gms,200 gms,3,MEDMCQA,584
Eisenmenger syndrome–True are A/E –,Pulmonary veins are not distended,RV & LV walls come back to normal size,Dilatation of central pulmonary artery,Peripheral pruning of pulmonary arteries,1,MEDMCQA,585
Sentinel lymph node biopsy is most useful for:,Carcinoma cervix,Carcinoma endometrium,Carcinoma vulva,Carcinoma vagina,2,MEDMCQA,586
"A 62 years old woman presented with acute onset confusion and bumping into th ings. On examination, she was ale, oriented with fluent speech and normal comprehension. Fuher examination revealed impaired writing (acalculia), right-left confusion, impaired arithmetic abilities, difficulty in finger identification. MRI demonstrated foci of coical and sub coical increase T2 signals and areas of leptomeningeal enhancement. Most likely diagnosis:",Gerstmann's syndrome,Millard-Gubler syndrome,Anton syndrome,Korsakoff's psychosis,0,MEDMCQA,587
Effect of radiation is:,Cumulative,Fractionalized,Concentrated,Dependent on genetic make-up of individuals,0,MEDMCQA,588
"If the interocclusal distance is increased beyond physiologic limits, the patients chief complaint may result from:",A muscular imbalance,An occlusal disharmony in centric,A displacement of the mandibular denture,A displacement of the maxillary denture while yawning,0,MEDMCQA,589
Inheritance of cleft lip and palate is,Monogenic,Polygenic,Multifactorial,Sex linked,2,MEDMCQA,590
Radiation affects all three germ layers (ectoderm mesoderm and endoderm) in which of the following,Teratoid cyst,Dermoid cyst,Thyroglossal cyst,Branchial cyst,0,MEDMCQA,591
Distance of the blade from the shank to have antirotational stability of the instrument?,2 mm,3 mm,4 mm,5 mm,0,MEDMCQA,592
Cytokines associated with periapical lesions,IL-1,IL-6,IL-8,TNF-α,0,MEDMCQA,593
Bismuth Oxide incorporated in MTA results in grey discolouration of crown. In newer material this Bismuth Oxide is replaced with?,Terbium-Dysisopropium,Tantalam Oxide,Bismuth Carbonate,Titanium Oxide,1,MEDMCQA,594
"A woman with 20 weeks pregnancy presents with bleeding per vaginum. On speculum examination, the os is open but no products have comes t. The most likely diagnosis is:",Incomplete aboion,Complete aboion,Inevitable aboion,Missed aboion,2,MEDMCQA,595
Physiological changes seen in laparoscopy include all except:,Increased ICP,Decreased FRC,Increased CVP,Increased pH,3,MEDMCQA,596
"A child underwent a tonsillectomy at 6 years of age with no complications. He underwent a preoperative screening for bleeding at the age of 12 years before an elective laparotomy, and was found to have a prolonged partial thromboplastin time, but normal prothrombin time. There was no family history of bleeding. The patient is likely to have acquired Vitamin K deficiency:",Acquired Vitamin K deficiency,Acquired liver disease,Factor XII deficiency,Mild hemophilia A,2,MEDMCQA,597
Which of the following kit has been designed & preferred specially for removal of fibre reinforced composite post?,Ruddle post removal system,Gonion kit,Gyro kit,JS extractor kit,2,MEDMCQA,598
While performing Burch operation there was significant bleeding and pooting of blood in the space of Retzius. The source of bleeding cannot be visualized. What is the next step in the management?,Call vascular stlrgeon,Give a generalized suture in bleeding area,Lift endopelvic fascia by putting fingers in vagina,Placing surgical drain,2,MEDMCQA,599
All of the following are associated with HHV8 except?,Kaposi sarcoma,Primary effusion lymphoma,Castleman disease,T-cell leukemia,3,MEDMCQA,600
"A patient shows one or more of the following: advanced bone loss, grade II and III furcation involvements, tooth mobility, inaccessible areas, systemic/environmental factors represents:",Questionable prognosis,Poor prognosis,Fair prognosis,Hopeless prognosis,0,MEDMCQA,601
"In an inferior alveolar nerve block given to a child, the
position of the needle as compared to that in an adult is more",Superior,Inferior,Buccal,Lingual,1,MEDMCQA,602
"A 11 year old boy with grossly carious right maxillary lateral incisor, LA is given, complains of burning sensation in right eye, swelling in right eyelid, best statement to explain this condition.",Middle meningeal artery has tortuous course,LA reaches the eyelid via infraorbital foramen,"Reaction is due to preservative in the L.A., it will subside in some time",Pain will subside in few minutes,2,MEDMCQA,603
Which of the following antibiotics is most frequently associated with pseudomembranous colitis?,Ampicillin,Penicillin,Clindamycin,Cephalosporin,2,MEDMCQA,604
"In the formula for urea clearance, C = U x V/P, what does U stands for:",Urinary concentration in g/24 hour,Urinary concentration in mg/ml,Urine osmolarity,Urine volume per minute,1,MEDMCQA,605
"While drilling an implant, bone necrosis occurs at what temperatures:",65,35,45,55,2,MEDMCQA,606
Child of an Overindulgent mother will be:,"Shy, submissive.","Aggressive, display temper tantrums.",Evasive and dawdling.,Disobedient.,1,MEDMCQA,607
The average no of muscle fibres attached to one golgi tendon oragn are,3-Jan,10-May,15-Oct,15-75,2,MEDMCQA,608
Physiological active form of cholesterol is:,Lipoprotein,Lipid,Free cholesterol,None of the above,2,MEDMCQA,609
Chromium is used in stainless steel for which purpose?,Corrosion resistance,Increases the lustre of stainless steel,Stabilization of the alloy,Increases the hardness of steel,0,MEDMCQA,610
Adeno ameloblastoma treatment,Enbloc resection of maxilla,Marsupialization,Enucleation,No treatment,2,MEDMCQA,611
"4 day old breastfed neonate, otherwise well, term neonate presented with jaundice, on testing the bilirubin level was found to be 18 mg/dl. Which of the following is the best step of management?",Sta phototherapy and continue breast feeding,Sta iv fluids and given phototherapy,Initiate exchange transfusion,Stop breast feeding and do phototherapy,0,MEDMCQA,612
"A 9 year old child's mother comes to dental clinic with the complaint of oral ulceration, fever and shedding of skin of palms and soles; she is giving history of premature shedding of teeth and increased sweating, she is also giving one month history of using any new teething gel available in market. The child is suffering from.",Acrodynia,Pemphigus vulgaris,Epidermolysis Bullosa,Erosive lichen planus,0,MEDMCQA,613
Working side contact means:,Contact on lateral movement.,Contact on medial movement.,No contact on lateral movement.,None of the above.,0,MEDMCQA,614
Which of the following is most stable restoration for a G.V. Black class V unstable erosive lesion?,Acid etch composite,GIC,Resin modified GIC,Compomer,2,MEDMCQA,615
Type of mouth breathing can be:,Obstructive.,Anatomic.,Habitual.,All of the above.,3,MEDMCQA,616
Prucalopride is a,5HT4 agonist,5HT2b agonist,5HT2b antagonist,5HT1a paial agonist,0,MEDMCQA,617
Patient with complete denture complains of pain while swallowing and there is overextension in the distolingual aspect. The muscle involved is:,Superior constrictor,Palatopharyngeus,Palatoglossus,Styloharyngeus,0,MEDMCQA,618
Which of the following scoring system is used for wound infection?,ASA score,SIRS score,Southampton score,Glasgow score,2,MEDMCQA,619
Anterior division of mandibular nerve has:,One sensory and all motor branches,One motor and all sensory branches,All motor branches,All sensory branches,0,MEDMCQA,620
Which of the following is not an example of a syndrome caused by uniparental disomy?,Prader-Willi syndrome,Angelman syndrome,Russell-Silver syndrome,Bloom syndrome,3,MEDMCQA,621
Two palatal roots are found in what percentage of maxillary 1st molars,1-4%,2-10%,0-1 %,Two palatal roots are never found,0,MEDMCQA,622
A five year old male child presents with complaints of fever and abdominal distension. IIe is having vomiting for the last five days. On examination there are 6–8 Pus Cell/hpf in urine. WBC count shows 78% neutrophils. What is the best line of management –,Send urine for culture and sensitivity and wait for results,Send urine for culture and sensitivity and start I.V. antibiotics immediately,"Send urine for culture, do an USG and start chloroquine",Radio nucleotide studies,1,MEDMCQA,623
Point used as termination of Root canal procedure is,Apical constriction,Apical foramen,Both,None,0,MEDMCQA,624
A pregnant woman with placenta pre staed to bleed as she went into labor. Her blood pressure was 80/50 mm Hg. A lower segment caesarean section was planned in view of acute shock. What type of anesthesia will you plan for this patient?,General anesthesia with IV induction by ketamine,Spinal anesthesia up to L4 level,General anesthesia with IV induction by propofol followed by maintenance with fluranes,Sedation and epidural analgesia,0,MEDMCQA,625
"Ellis and deway classification of traumatic fractures are
how many",9,5,3,4,0,MEDMCQA,626
Which of following is not a tumor suppressor gene?,pRb,FHIT,PTCH,c-erbB1,3,MEDMCQA,627
Treatment of solitary langerhans histiocytoma of mandible is by,Curettage,Radiotherapy,No treatment required,Chemotherapy,0,MEDMCQA,628
All are drugs which lower IOP except,Clonidine,Mannitol,Dexamethasone,Acetazolamide,2,MEDMCQA,629
If the cycle stas with ' a ' wave of jvp . Arrange the following in order-,R wave,T wave,1st hea sound and Rapid ejection phase,All,3,MEDMCQA,630
A 10–year old male child was presented to the pediatrician for evaluation of a seizure disorder. On examination a vascular plaque was found along the ophthalmic and maxillary divisions of the trigeminal nerve. The mother informed the pediatrician that the lesion was present since birth and there was no change in morphology. The most likely possibility is –,Sturge Weber syndrome,Infantile hemangioma,Congenital hemangioma,Proteus syndrome,0,MEDMCQA,631
Arterial supply of Submandibular gland is through which branch of ECA:,Ascending pharyngeal,Superior pharyngeal,Maxillary,Facial,3,MEDMCQA,632
Cholesterol crystals are found in which zone?,Zone of infection,Zone of contamination,Zone of irritation,Zone of stimulation,2,MEDMCQA,633
Which of the following is not a feature of anaphylaxis?,Delayed reaction,Immediate reaction,Passive transfer by serum,None of the above,0,MEDMCQA,634
The analytical study where population is the unit of study is,Cross-sectional,Ecological,Case-control,Cohort study,1,MEDMCQA,635
Diffuse mottling of retina with focal areas of increased and decreased pigmentation between posterior pole and equator (Salt and pepper retinopathy) is observed in all of the following except:,Resolving retinal detachment,Phenothiazine toxicity,Congenital rubella,Fundus flavimaculatus,0,MEDMCQA,636
Auriculotemporal nerve encircles which artery,Superficial temporal artery,Superficial temporal vein,Middle meningeal artery,Deep temporal,2,MEDMCQA,637
During relining procedures fear lies in the alteration of,Balanced occlusion,Centric occlusion,Vertical dimension,Condylar guidance,2,MEDMCQA,638
"Calculate the base deficit in a patient of weight 75 kg with a pH = 6.96, pCO2 = 30 mm Hg and HCO3- = 6 mEq/L:",300 mEq,400 mEq,500 mEq,800 mEq,2,MEDMCQA,639
Edge angle is the angle between:,Rake face and radial line.,Rake face and clearance face.,Clearance face and tooth structure.,Radial line and clearance face,1,MEDMCQA,640
In which of the following heart diseases is materanl mortality during pregnancy found to be the highest:,Coarctation of aorta,Eisenmenger syndrome,AS,MS,1,MEDMCQA,641
"Considering the latent period of muscle twitch to be 10 ms, contraction time 40 ms and relaxation time 50 ms, what will be the tetanizing frequency for this muscle?",25 Hz,50 Hz,100 Hz,75 Hz,0,MEDMCQA,642
All of the following are sequelae of fetal alcohol syndrome except:,Macrocephaly,Holoprosencephaly,Microcephaly,Thinning of corpus callosum,0,MEDMCQA,643
Disappearance of nuclear chromatin is called as,Pyknosis,Karyolysis,Karyorhexis,None,1,MEDMCQA,644
Which of the following technique is used to move tongue away from post pharyngeal wall,Jaw thrust maneuver,Triple maneuver,Head maneuver,Neck maneuver,0,MEDMCQA,645
Which of the following is a negative acute phase reactant?,Ferritin,Haptoglobin,Albumin,C-reactive protein,2,MEDMCQA,646
"During autopsy of a patient died due to suspected myocardial infarction, the hea was stained with triphenyltetrazolium tetrachloride dye. What will be the color of the ble myocardium?",White,Red,Blue,Dark Brown,1,MEDMCQA,647
In myocardial infarction the first enzyme to rise:,CPK,LDH,SGOT,Amylase,0,MEDMCQA,648
What should be ideal depth of MTA for root end filling material?,1 mm,3 mm,5 mm,7 mm,1,MEDMCQA,649
Periapical bone resorption occurs due to:,IL-1 alpha,TNF alpha,Both,None,2,MEDMCQA,650
Injury to which of the following vessels is least likely to result in significant damage:,Renal aery,Superior mesenteric aery,Inferior mesenteric aery,Celiac trunk,2,MEDMCQA,651
Hormones which is/are under inhibitory control of hypothalamus:,Prolactin,Prolactin only,GH,Both GH and prolactin,3,MEDMCQA,652
Overload of denture base is caused by:,Small bases,Too large bases,Small teeth,Large teeth,0,MEDMCQA,653
plate endings are features of,Nuclear chain fibres,Nuclear bag fibres,Golgi tendon,Extra fusal,1,MEDMCQA,654
Anti-epileptic which is not associated with congenital malformation when used in pregnant woman is:,Phenytoin,Phenobarbitone,Carbamazepine,Valproate,1,MEDMCQA,655
"In a 19 years old patient, with a swelling over the left angle of the mandible, temperature of 38°C and negative history of trauma, one should suspect:",Spontaneous fracture of the mandible,Pericoronal infection,Mumps,Sjogren's syndrome,1,MEDMCQA,656
The transport of CO is diffusion limited because,Binds avidly with Hb,Partial pressure of CO is less,CO is less absorbed in water,Alveolar membrane is less permeable,0,MEDMCQA,657
Location of MB2 in maxillary first molar,Distopalatal to MB1,Mesiobuccal to MB1,Distobuccal to MB1,Mesiopalatal to MB1,3,MEDMCQA,658
The zygomatic bone does not articulate with:,Frontal bone,Maxillary bone,Nasal bone,Temporal bone,2,MEDMCQA,659
Cranioveebral joint does not include:,Occipital condyle,Axis,Atlas,Wings of sphenoid,3,MEDMCQA,660
Postherpetic neuralgia is defined as pain lasting beyond how many weeks?,1 week,2 weeks,3 weeks,4 weeks,3,MEDMCQA,661
"Oral hairy leukoplakia is seen in AIDS patients. The most
likely site of appearance is:",Lateral borders of tongue,Sublingual mucosa,Soft palate,Buccal mucosa,0,MEDMCQA,662
C shaped root canals are preferably found in (Maximum incidence),Mand 1st molar,Maxillary 2nd molar,Maxillary 1stmolar,Mand 2nd molar,3,MEDMCQA,663
Which is a true association:,Lichen planus and malignant melanoma,Melasma and malignant melanoma,Psoriasis and metabolic syndrome,Vitiligo and metabolic syndrome,2,MEDMCQA,664
Which of the following infections causes a non-centrally distributed rash?,Epidemic typhus,Measles,Secondary syphilis,Typhoid,0,MEDMCQA,665
"A patient taking which of the following drug should not eat cheese, etc:",Tetracycline,Amoxycillin,Doxycycline,Triamterene,0,MEDMCQA,666
A researcher said he has discovers a new drug which is effective in chronic hypeensives with a p value of < 0.10. Which of the following is true regarding the same?,The test is 90% reproducible,90% of test results could have occurred by chance,Not more than 10% of the people benefitted by the drug could he due to chance,90% of patients will be benefitted by giving the drug,2,MEDMCQA,667
"A 22-year-old man presents with diarrhea and intolerance to dairy products, on investigation he was found to have lactase deficiency. Agent least likely to cause lactose intolerance among these is?",Condensed MILK,Skimmed Milk,Yoghu,Ice cream,3,MEDMCQA,668
"It is likely that cell mediated immune reactions (delayed
hypersensitivity) occur in periodontitis because subjects with periodontitis have",High levels of histamine in involved gingival tissue,IgG antibodies reactive with plaque bacterial antigens,Ttymphocytes sensitized to bacterial plaque antigens,High Levels of collagenase in gingival fluids,2,MEDMCQA,669
Best indicator of developing cardiovascular disease is,LDL cholesterol level more than 120 mg/dl,History of salt intake of more than 6 gm/day,LDL/HDL ratio,All of the above,2,MEDMCQA,670
"Diminution in normal size of the body, well proportioned body, fine sparse hair on the head and other hairy regions wrinkled atrophic skin and often hypogonadism could be diagnosed as suffering from:",Hypothyroidism,Hypopituitarism,Hyperthyroidism,None of the above,1,MEDMCQA,671
Which amino acid does not include post translational modification?,Selenocystiene,Triiodothyronine,Hydroxy-proline,Hydroxy-lysine,0,MEDMCQA,672
"An elderly male patient presented with fever, chest pain, and dry coughp; sputum culture showed growth on Charcoal Yeast Extract Medium, the organism is",H. influenza,Moraxella catarrhalis,Legionella,Burkholderia cepacia,2,MEDMCQA,673
"In occlusion, the teeth have",Cusp-to-cusp contact,Edge-to-edge contact,Marginal contact,Surface-to-surface contact,3,MEDMCQA,674
Retromolar pad:,Should not be covered by Low denture,Should be covered by lower denture,Has tendon of temporal muscle attached to it,Disappears on eruption of mandibular last molars,1,MEDMCQA,675
Nuk Sauger Nipple is :,Non-physiologic nipple.,Conventional nipple.,Physiologic nipple.,None.,2,MEDMCQA,676
Which heart sound indicates stiffness of ventricular wall,S1,S2,S3,S4,3,MEDMCQA,677
